aber|but, however
denn|since
entweder … oder|either … or
nicht nur … sondern auch|not only … but also
oder|or
sondern|but rather
sowohl … als auch|both … and
und|and
weder … noch|neither … nor
als|when
bevor|before
bis|until
da|as (in the sense of “because”)
damit|so that (also means “with that,” “with it”)
daß|that
ehe|before (more formal than “bevor”)
falls|in case
indem|by (+verb; e.g. by learning these words, you become a better person)
nachdem|after
ob|whether
obgleich|although
obwohl|although
seit|since
sobald|as soon as
so daß|so that
während|while
weil|because
wenn|if; when
wie|how
ab|as of; departing at; used when something is being removed
allein|alone; however
also|thus, so
alt|old
(ein) ander__|other (another)
anders|differently
auch|also
beide|both
(zum) Beispiel|(for) example
bereits|already
besonder__|particular, unusual
besonders|especially
in/mit Bezug auf|regarding
bisher|until now, as yet
dabei|and yet; while doing that; near that/it
dann|then
doch|however, yet
dort|over there, there
drittens|thirdly
eigentlich|real(ly), actual(ly)
einige|some, a few
einmal|once, once upon a time
erst|(at) first; only (in the sense of “not until”)
erstens|firstly
es gibt|there is, there are
etwa|roughly
etwas|something
fast|almost, nearly
ganz|whole, entire, all
gerade|straight; just (as in “I just did this”)
gestern|yesterday
groß|big, tall, large
gut|good, well
heute|today
hier|here
immer|always
ja|yes
das Jahr, -e|year
je|ever; per
je…je/desto/umso|the (more)…the (more)
jedoch|however, nonetheless
jetzt|now, at the moment
kaum|hardly, scarcely
kein(__)|none, no, no one…
klein|little, small
lang|long
letzte(__)|last
mal; das Mal|time(s)
man|one
mehr|more
morgen|tomorrow
nein|no
neu|new
nicht|not
nichts|nothing
noch|still (as in “It’s still alive”); even (as in “even more”)
nun|now; can be used to mean “Well,…”
nur|only
oben|above, up there
ohne…zu|without (doing X)
ein paar|a few
plötzlich|sudden(ly)
quer durch|right (straight) across
schlecht|bad
schließlich|finally; after all
schon|already
schön|nice, pretty
schnell|quick(ly), fast
sehr|very
sei es…sei es|be it…be it, whether…or
selbst, selber|myself, yourself
sich|oneself, himself, herself, itself, themselves etc.
so|so, in this manner
sonst|otherwise, or else
später|later
(an)statt…zu|instead of (doing X)
trotzdem|nevertheless, despite that
um…zu|in order to (do X)
viel|a lot, many
vielleicht|perhaps
was|what; which
wenig(__)|few, little (in the sense of “few”)
wie|how; like (as in “similar(ly)”), as (in comparisons)
wieder|again
worauf, womit etc.|on which, with which etc.
würde|would
die Zeit|time
zurück|back (as in “come back”)
zusammen|together
auch|also, too
doch|but, still
so|so, thus, this way, such
wieder|again, once more
dann|then
eigentlich|actually
da|there
oben|above, up there
noch|still, yet
nun|now
also|so, therefore
heute|today
nur|only
weit|far, widely
schon|already
eben|just now
mehr|more
erst|first, only, not until
jetzt|now
natürlich|naturally, of course
immer|always
vielleicht|perhaps, maybe
sehr|very
dort|there
links|left
rechts|right
unten|below
oben|above
drinnen (drin)|inside
voran|before/in front
nirgends|nowhere
drauβen|outside
irgendwo|somewhere
hier|here
überall|everywhere
drüben|over there
weg|away
nahe|near
gerade|right now
gleich|in a minute
gestern|yesterday
ehemalig|former
morgen|tomorrow
eben|just now
kürzlich|recently
damals|back then
schließlich|finally
neulich|recently
sofort|Immediately, at once
zuletzt|in the end
zukünftig|In the future
seit|since
bisher|So far, previously
manchmal|sometimes
regelmäßig|regularly
oft|often
fast nie|almost never
häufig|frequently
nie|never
ab und zu|every once in a while
unregelmäßig|irregularly
niemals|never, ever
stets|always
ständig|constantly
selten|seldom
mehrmals|repeatedly
einmal|one time
wenig|Little
gar nicht|not at all
viel|much
übermäßig|excessively
extrem|extremely
allein(e)|alone
zusammen|together
dauernd|prolonged
lange|long
langsam|slowly
sicherlich|certainly, surely
genau|exactly
wütend|exactly
gern(e)|gladly, to like doing something
kurze|short, briefly
leichtsinnig|recklessly
lieber|rather
hoffentlich|hopefully
eventuell|possibly
zufällig|per chance
leidenschaftlich|Passionately
wahnsinnig|insanely, very
überhaupt nicht|not at all
ein bisschen|a bit
fast|almost
enorm|enormously
beinahe|nearly
ziemlich|quite
total|totally
unglaublich|incredibly
wirklich|Really
ungewöhnlich|Unusually
Fabelhaft|dreamy
